Name,Total_Network
handler_redirect,38.09999999999999
ap_register_rewrite_mapfunc,38.09999999999999
register_hooks,38.09999999999999
hook_mimetype,37.94999999999999
hook_fixup,37.84999999999999
hook_uri2file,35.79999999999999
init_child,33.59999999999999
post_config,33.44999999999999
pre_config,33.14999999999999
apply_rewrite_list,33.099999999999994
apply_rewrite_rule,31.879999999999992
core_get_pollfd_from_conn,30.970000000000017
register_hooks,30.970000000000017
core_upgrade_storage,30.870000000000015
core_upgrade_handler,30.820000000000014
force_type_handler,30.429999999999993
core_dump_config,30.420000000000016
apply_rewrite_cond,30.229999999999993
core_child_init,29.970000000000017
core_optional_fn_retrieve,29.970000000000017
core_insert_network_bucket,29.970000000000017
core_dirwalk_stat,29.970000000000017
core_pre_connection,29.920000000000016
include_post_config,29.85
ap_register_include_handler,29.85
register_hooks,29.85
set_default_end_tag,29.8
set_undefined_echo,29.8
set_default_error_msg,29.8
set_default_time_fmt,29.8
core_create_conn,29.770000000000017
core_create_secondary_conn,29.770000000000017
set_default_start_tag,29.650000000000002
set_xbithack,29.500000000000004
dav_fixups,29.450000000000006
register_hooks,29.450000000000006
include_fixup,29.300000000000004
create_includes_dir_config,29.300000000000004
merge_includes_dir_config,29.300000000000004
create_includes_server_config,29.300000000000004
dav_handler,29.200000000000006
core_create_req,29.12000000000002
core_create_proxy_req,29.12000000000002
core_insert_filter,29.020000000000017
reset_request_notes,29.020000000000017
includes_filter,29.000000000000004
proxy_pre_config,28.920000000000005
register_hooks,28.920000000000005
child_init,28.870000000000005
compare_lexicography,28.839999999999993
core_post_config,28.720000000000017
core_pre_config,28.670000000000016
core_check_config,28.620000000000015
cmd_rewriterule,28.539999999999992
check_errorlog_dir,28.470000000000017
proxy_status_hook,28.470000000000006
includes_setup,28.350000000000005
send_parsed_content,28.250000000000004
default_handler,28.220000000000017
dav_method_bind,27.750000000000007
cmd_rewriterule_setflag,27.73999999999999
proxy_post_config,27.670000000000005
proxysection,27.320000000000004
core_override_type,27.270000000000017
core_map_to_storage,26.920000000000016
do_nothing,26.920000000000016
set_merge_trailers,26.820000000000014
set_errorlog_format,26.770000000000014
dav_method_merge,26.60000000000001
set_errorlog,26.370000000000015
parse_errorlog_string,25.970000000000017
dav_method_make_activity,25.90000000000001
dav_method_baseline_control,25.90000000000001
set_proxy_param,25.770000000000003
ap_add_per_proxy_conf,25.770000000000003
dav_method_make_workspace,25.550000000000008
parse_errorlog_item,25.520000000000017
find_argument,25.400000000000002
dav_method_report,25.200000000000006
set_worker_factor,25.01000000000001
parse_errorlog_misc_string,24.950000000000017
set_thread_limit,24.81000000000001
set_server_limit,24.76000000000001
dav_core_gather_reports,24.750000000000007
cmd_rewritecond,24.73999999999999
set_threads_per_child,24.710000000000008
set_max_workers,24.660000000000007
set_expect_strict,24.650000000000016
log_constant_item,24.650000000000016
dav_core_deliver_report,24.60000000000001
add_member,24.570000000000004
set_max_spare_threads,24.560000000000006
set_cl_head_zero,24.550000000000015
dav_method_label,24.550000000000008
set_min_spare_threads,24.510000000000005
set_daemons_to_start,24.460000000000004
set_http_method,24.450000000000014
event_check_config,24.410000000000004
event_hooks,24.410000000000004
set_async_filter,24.400000000000013
set_http_protocol_options,24.150000000000013
dav_label_walker,23.700000000000006
set_protocols_honor_order,23.650000000000013
find_tail,23.650000000000002
set_protocols,23.450000000000014
set_trace_enable,23.400000000000013
find_arg_or_tail,23.400000000000002
dav_method_update,23.350000000000005
set_bgrowth,23.320000000000004
set_persist,23.320000000000004
set_inherit,23.320000000000004
set_ppinherit,23.320000000000004
set_status_opt,23.270000000000003
log_backtrace,23.200000000000014
find_directive,23.200000000000003
cmd_rewritecond_setflag,23.089999999999993
set_bad_opt,23.070000000000004
cmd_parseflagfield,22.889999999999993
main,22.870000000000005
set_via_opt,22.870000000000005
set_recursion_limit,22.800000000000015
set_proxy_timeout,22.620000000000005
set_io_buffer_size,22.570000000000004
set_max_forwards,22.570000000000004
set_max_reversals,22.550000000000015
no_set_limit,22.550000000000015
set_limit_cpu,22.550000000000015
set_limit_mem,22.550000000000015
set_limit_nproc,22.550000000000015
event_post_config,22.510000000000005
find_partial_start_sequence,22.500000000000004
set_recv_buffer_size,22.470000000000002
set_proxy_async_idle,22.42
set_proxy_async_delay,22.37
dav_method_checkin,22.350000000000005
set_max_overlaps,22.300000000000015
set_proxy_error_override,22.27
add_proxy_http_headers,22.27
set_preserve_host,22.27
forward_100_continue,22.27
cmd_rewritebase,22.239999999999995
event_pre_config,22.160000000000004
handle_autoindex,22.1
register_hooks,22.1
cmd_rewritemap,22.089999999999996
set_max_ranges,22.050000000000015
set_limit_xml_req_body,21.800000000000015
dav_method_uncheckout,21.800000000000004
set_proxy_domain,21.77
set_proxy_req,21.77
set_proxy_dirconn,21.72
set_limit_req_body,21.700000000000014
index_directory,21.650000000000002
set_limit_req_fields,21.600000000000012
event_open_logs,21.560000000000002
read_types_multi,21.509999999999998
set_limit_req_fieldsize,21.50000000000001
event_protocol_switch,21.410000000000004
set_limit_req_line,21.40000000000001
find_start_sequence,21.400000000000002
event_pre_connection,21.360000000000003
dav_method_checkout,21.350000000000005
set_proxy_exclude,21.32
event_run,21.310000000000002
setup_slave_conn,21.310000000000002
set_serv_tokens,21.300000000000008
cookie_domain,21.02
cookie_path,20.97
cmd_rewriteoptions,20.939999999999998
add_pass_reverse,20.919999999999998
set_banner,20.90000000000001
bndm,20.700000000000003
add_pass,20.619999999999997
add_pass_noregex,20.619999999999997
add_pass_regex,20.619999999999997
set_loglevel_override,20.60000000000001
